epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2621,1.94693,2.50986,1.82586,0.73233,0.37099,0.48258,0.16936,2.39205,2.81755,2.64213,0.000469982,0.000469982,0.000469982
2,134.359,1.64104,1.73107,1.65531,0.74088,0.61803,0.60069,0.27264,2.17232,1.79173,2.64758,0.000899473,0.000899473,0.000899473
3,200.36,1.6284,1.60181,1.66666,0.75074,0.60825,0.58497,0.28491,2.21501,1.65979,2.87501,0.00128181,0.00128181,0.00128181
4,265.679,1.59967,1.4989,1.65355,0.68126,0.58496,0.53879,0.25746,2.19318,1.72536,2.82589,0.00121679,0.00121679,0.00121679
5,328.284,1.58348,1.45918,1.66508,0.78912,0.64529,0.61352,0.27294,2.14226,1.31258,2.61853,0.00114606,0.00114606,0.00114606
6,392.572,1.52392,1.35703,1.6201,0.76508,0.66004,0.62737,0.30664,2.11616,1.54341,2.57962,0.00107532,0.00107532,0.00107532
7,459.039,1.52537,1.29633,1.60706,0.81285,0.66971,0.63405,0.29843,2.12989,1.25184,2.58769,0.00100459,0.00100459,0.00100459
8,525.767,1.47155,1.25962,1.5822,0.81566,0.64031,0.62321,0.30784,2.12879,1.14841,2.64458,0.000933851,0.000933851,0.000933851
9,595.65,1.47557,1.19903,1.57555,0.86961,0.66847,0.6786,0.32317,2.0876,1.05803,2.47292,0.000863116,0.000863116,0.000863116
10,660.37,1.45065,1.21208,1.57108,0.83237,0.66347,0.66117,0.33463,2.0932,1.05208,2.56457,0.00079238,0.00079238,0.00079238
11,721.606,1.37076,1.08974,1.52615,0.84308,0.68458,0.69171,0.33812,2.09837,1.0236,2.56366,0.000721645,0.000721645,0.000721645
12,781.074,1.36409,1.0472,1.49108,0.83479,0.68852,0.67722,0.31635,2.08321,0.94826,2.51096,0.000650909,0.000650909,0.000650909
13,839.252,1.32851,1.01508,1.48614,0.84175,0.67365,0.67325,0.32421,2.08855,0.96756,2.55301,0.000580174,0.000580174,0.000580174
14,896.854,1.30241,1.02477,1.46073,0.83911,0.68831,0.67697,0.32128,2.09107,0.94959,2.62264,0.000509438,0.000509438,0.000509438
15,954.194,1.29236,0.96537,1.44664,0.85748,0.67399,0.66818,0.34219,2.05345,0.90076,2.588,0.000438703,0.000438703,0.000438703
16,1011.29,1.27712,0.94929,1.43321,0.85374,0.71002,0.68742,0.33708,2.05003,0.90878,2.63571,0.000367967,0.000367967,0.000367967
17,1068.28,1.26887,0.93496,1.43537,0.85566,0.69823,0.68693,0.33594,2.06233,0.89719,2.64846,0.000297232,0.000297232,0.000297232
18,1125.16,1.25775,0.9199,1.42015,0.8551,0.69626,0.68309,0.34478,2.05489,0.88128,2.60803,0.000226497,0.000226497,0.000226497
19,1181.98,1.22741,0.88392,1.4023,0.86469,0.7071,0.69154,0.34434,2.03743,0.85029,2.59523,0.000155761,0.000155761,0.000155761
20,1239.03,1.2019,0.87305,1.38027,0.86069,0.70218,0.67937,0.33969,2.02718,0.86743,2.62627,8.50255e-05,8.50255e-05,8.50255e-05
