epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7247,5.64039,5.94518,4.16943,0,0,0,0,0.09871,57.4318,0.05654,0.0001667,0.0001667,0.0001667
2,25.0001,5.80582,5.73901,3.82946,0,0,0,0,0.1031,57.1553,0.05907,0.000338518,0.000338518,0.000338518
3,37.1846,5.43108,5.09613,3.30621,0,0,0,0,0.11097,57.1481,0.06356,0.000498233,0.000498233,0.000498233
4,49.1072,5.27606,4.65306,2.58075,0,0,0,0,0.11667,56.7201,0.06678,0.000645846,0.000645846,0.000645846
5,61.2618,5.37113,4.71865,2.43407,0,0,0,0,0.13643,55.7915,0.07609,0.000781356,0.000781356,0.000781356
6,73.4997,5.14197,4.53252,2.23428,0,0,0,0,0.25893,55.1029,0.1274,0.000904764,0.000904764,0.000904764
7,85.8485,4.95195,4.29091,2.06737,0,0,0,0,0.63035,55.4828,0.26327,0.00101607,0.00101607,0.00101607
8,98.0754,4.77719,4.32281,1.95744,0,0,0,0,2.05227,56.9057,0.70281,0.00111527,0.00111527,0.00111527
9,110.362,4.95505,4.11551,1.87074,0,0,0,0,5.60719,58.3772,1.48454,0.00120237,0.00120237,0.00120237
10,122.574,5.06274,4.25409,1.82817,0,0,0,0,6.98767,23.4113,1.20574,0.0011719,0.0011719,0.0011719
11,135,4.87242,3.97815,1.70854,0,0,0,0,6.90737,12.4566,0.7358,0.00111689,0.00111689,0.00111689
12,147.817,4.76047,4.31627,1.84933,0,0,0,0,6.859,10.7698,0.44928,0.00106188,0.00106188,0.00106188
13,160.585,4.80555,4.19763,1.75883,0,0,0,0,6.85147,10.4599,0.40413,0.00100687,0.00100687,0.00100687
14,173.065,5.14936,4.08592,1.66717,0,0,0,0,6.87319,10.2568,0.4794,0.000951857,0.000951857,0.000951857
15,185.394,5.01441,3.88023,1.58029,0,0,0,0,6.88961,10.1456,0.424,0.000896846,0.000896846,0.000896846
16,197.61,4.84692,3.8727,1.71619,0,0,0,0,6.87775,9.38428,0.32213,0.000841835,0.000841835,0.000841835
17,209.718,4.70682,3.84984,1.63771,0,0,0,0,6.86482,9.13426,0.29377,0.000786824,0.000786824,0.000786824
18,222.219,4.95149,3.9348,1.75422,0,0,0,0,6.85922,9.546,0.26881,0.000731813,0.000731813,0.000731813
19,234.247,5.06295,3.96289,1.58321,0,0,0,0,6.86236,9.91321,0.26228,0.000676802,0.000676802,0.000676802
20,246.624,4.86452,3.84799,1.73905,0,0,0,0,6.86452,9.78529,0.26381,0.000621791,0.000621791,0.000621791
21,258.328,5.36173,6.45521,0.85643,0,0,0,0,6.86238,9.20221,0.25563,0.00056678,0.00056678,0.00056678
22,269.553,5.12397,6.49361,0.85655,0,0,0,0,6.85028,9.27067,0.27378,0.000511769,0.000511769,0.000511769
23,280.66,5.56148,6.45913,0.63087,0,0,0,0,6.85343,9.22545,0.30286,0.000456758,0.000456758,0.000456758
24,292.063,5.56598,6.25242,0.78276,0,0,0,0,6.85766,8.73806,0.26455,0.000401747,0.000401747,0.000401747
25,303.477,5.29947,6.12489,0.64873,0,0,0,0,6.85986,8.59157,0.24158,0.000346736,0.000346736,0.000346736
26,314.778,5.1002,5.26539,0.70763,0,0,0,0,6.85624,8.37076,0.21407,0.000291725,0.000291725,0.000291725
27,325.785,4.97438,5.81593,0.93397,0,0,0,0,6.85098,8.41029,0.20831,0.000236714,0.000236714,0.000236714
28,365.826,5.28212,5.76442,0.87672,0,0,0,0,6.84556,8.21979,0.1939,0.000181703,0.000181703,0.000181703
29,377.09,5.34672,5.5786,0.64239,0,0,0,0,6.84312,8.17194,0.19011,0.000126692,0.000126692,0.000126692
30,388.313,5.42773,5.73524,0.48563,0,0,0,0,6.84208,8.13596,0.19007,7.1681e-05,7.1681e-05,7.1681e-05
