epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4654,1.14545,2.90265,1.46916,0.00629,0.96627,0.39827,0.28229,0.92524,3.17253,1.38023,0.00020006,0.00020006,0.00020006
2,30.6076,1.09661,2.03308,1.41805,0.8528,0.0422,0.51756,0.35813,0.92501,2.9378,1.40315,0.000400734,0.000400734,0.000400734
3,45.2917,1.04076,1.67234,1.38284,0.62245,0.55828,0.61528,0.4051,1.08238,2.38173,1.54888,0.000587262,0.000587262,0.000587262
4,60.317,1.08974,1.61758,1.44694,0.68285,0.60839,0.6547,0.39964,1.26578,2.30537,1.82421,0.000759642,0.000759642,0.000759642
5,75.2086,1.0787,1.49374,1.40903,0.5035,0.42256,0.41443,0.17233,1.78642,3.09503,2.57296,0.000917875,0.000917875,0.000917875
6,89.7827,1.11233,1.42087,1.37884,0.72688,0.6095,0.6494,0.40507,1.30877,2.19656,1.77606,0.00106196,0.00106196,0.00106196
7,104.055,1.11815,1.41419,1.40346,0.63436,0.67302,0.68831,0.4513,1.10837,1.8683,1.57175,0.00114606,0.00114606,0.00114606
8,118.487,1.04744,1.35168,1.33571,0.57841,0.73178,0.72741,0.42539,1.24512,2.49048,1.90156,0.0010989,0.0010989,0.0010989
9,132.993,1.04496,1.31382,1.36957,0.59596,0.77904,0.75295,0.46262,1.29594,1.93888,1.74719,0.00105174,0.00105174,0.00105174
10,147.336,1.03398,1.25335,1.34904,0.75395,0.76746,0.81919,0.57708,1.1164,1.94526,1.57869,0.00100459,0.00100459,0.00100459
11,161.415,1.07906,1.23222,1.3427,0.75789,0.78771,0.79966,0.54502,1.10573,1.5904,1.51994,0.00095743,0.00095743,0.00095743
12,175.913,1.01791,1.18413,1.33274,0.7501,0.74837,0.80309,0.53382,1.12924,1.73227,1.55274,0.000910273,0.000910273,0.000910273
13,190.338,1.03708,1.197,1.32711,0.71925,0.74458,0.78728,0.54133,1.1095,1.60072,1.53175,0.000863116,0.000863116,0.000863116
14,204.534,0.96675,1.10983,1.29056,0.72784,0.77457,0.79461,0.52837,1.13071,1.4864,1.53251,0.000815959,0.000815959,0.000815959
15,218.687,0.97885,1.08234,1.28781,0.86115,0.67184,0.84059,0.58132,1.07721,1.52542,1.48588,0.000768802,0.000768802,0.000768802
16,232.868,0.89971,1.01974,1.23368,0.82199,0.73407,0.85206,0.62048,0.9796,1.4919,1.43414,0.000721645,0.000721645,0.000721645
17,247.171,0.91046,1.01233,1.24736,0.78291,0.73455,0.83352,0.59931,1.04082,1.51942,1.47494,0.000674488,0.000674488,0.000674488
18,261.403,0.96127,0.99928,1.25528,0.80986,0.76905,0.82385,0.58162,1.04909,1.31409,1.44519,0.000627331,0.000627331,0.000627331
19,275.468,0.9327,0.97806,1.25315,0.85399,0.75764,0.83506,0.58741,1.08567,1.32914,1.45516,0.000580174,0.000580174,0.000580174
20,289.736,0.92652,0.97156,1.23923,0.80656,0.80464,0.84912,0.61457,1.0035,1.19239,1.3808,0.000533017,0.000533017,0.000533017
21,303.435,0.81711,1.15151,1.20288,0.82223,0.74145,0.81224,0.55329,1.15573,1.37463,1.54283,0.00048586,0.00048586,0.00048586
22,317.191,0.7828,1.04273,1.19641,0.86351,0.8369,0.90699,0.6648,0.94577,1.17221,1.35031,0.000438703,0.000438703,0.000438703
23,330.865,0.7719,0.9816,1.22098,0.85543,0.82908,0.8972,0.65535,0.96263,1.07195,1.358,0.000391546,0.000391546,0.000391546
24,344.441,0.74158,0.90716,1.15644,0.80278,0.85155,0.90079,0.66182,0.93502,1.0845,1.35725,0.000344389,0.000344389,0.000344389
25,357.928,0.7274,0.89298,1.13243,0.88608,0.8439,0.91419,0.67488,0.92561,1.04812,1.34684,0.000297232,0.000297232,0.000297232
26,371.272,0.73131,0.84756,1.13963,0.88056,0.82811,0.91688,0.66834,0.93467,1.00382,1.34185,0.000250075,0.000250075,0.000250075
27,384.57,0.70164,0.83803,1.11471,0.8768,0.84125,0.90525,0.67081,0.89773,0.97529,1.31021,0.000202918,0.000202918,0.000202918
28,397.815,0.69507,0.80338,1.11116,0.87871,0.82598,0.90456,0.66347,0.91017,0.96573,1.32671,0.000155761,0.000155761,0.000155761
29,411.245,0.67227,0.77884,1.10149,0.89838,0.83302,0.91844,0.68114,0.90984,0.95154,1.32933,0.000108604,0.000108604,0.000108604
30,424.439,0.6611,0.75809,1.09069,0.90809,0.83786,0.92602,0.68632,0.90954,0.95462,1.32032,6.1447e-05,6.1447e-05,6.1447e-05
