epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4431,0.89061,2.79349,1.41986,0.00338,0.95,0.57162,0.39738,0.5751,3.52502,1.32082,0.0001667,0.0001667,0.0001667
2,20.2161,0.90246,2.0739,1.42332,0.0035,0.95,0.54598,0.3887,0.85195,3.51587,1.54977,0.000338518,0.000338518,0.000338518
3,29.8768,0.79197,1.59081,1.35159,0.75436,0.46554,0.72084,0.51203,0.8075,2.89724,1.63738,0.000498233,0.000498233,0.000498233
4,39.2083,0.93353,1.54628,1.41705,0.76047,0.25,0.59412,0.32911,1.23696,3.27732,2.18218,0.000645846,0.000645846,0.000645846
5,48.7456,0.95566,1.63062,1.42463,0.90714,0.3,0.64991,0.3943,1.00642,3.06143,1.73089,0.000781356,0.000781356,0.000781356
6,58.4742,0.9434,1.5267,1.41629,0.86101,0.63021,0.85021,0.47962,1.09781,2.83009,2.0837,0.000904764,0.000904764,0.000904764
7,68.1005,0.94118,1.38883,1.385,0.38462,0.66854,0.56487,0.31692,1.1477,2.72988,2.00585,0.00101607,0.00101607,0.00101607
8,77.823,0.949,1.47042,1.4242,0.61037,0.70833,0.75006,0.40723,1.21548,2.55977,1.99707,0.00111527,0.00111527,0.00111527
9,87.36,0.93,1.44994,1.42928,0.78093,0.73333,0.75162,0.42388,1.21551,2.6158,2.12673,0.00120237,0.00120237,0.00120237
10,96.8666,0.94362,1.43139,1.41368,0.6125,0.79839,0.6923,0.34569,1.34295,2.54982,2.16105,0.0011719,0.0011719,0.0011719
11,106.73,0.95216,1.34233,1.40216,0.45238,0.62213,0.47792,0.34623,1.27592,2.78767,2.03199,0.00111689,0.00111689,0.00111689
12,116.283,0.92394,1.28612,1.37028,0.50834,0.57223,0.60595,0.38418,1.20259,2.61066,1.99411,0.00106188,0.00106188,0.00106188
13,125.968,0.87599,1.26862,1.35164,0.69997,0.81055,0.76855,0.43395,1.28405,2.51842,2.20552,0.00100687,0.00100687,0.00100687
14,135.523,0.94433,1.26875,1.40104,0.79526,0.72628,0.79714,0.47857,1.32193,2.68187,2.17189,0.000951857,0.000951857,0.000951857
15,145.1,0.89589,1.18096,1.34341,0.9257,0.81667,0.87761,0.52406,1.17,1.97959,1.8904,0.000896846,0.000896846,0.000896846
16,154.45,0.88793,1.13578,1.34551,0.73696,0.86235,0.82504,0.44054,1.37142,1.84727,2.10169,0.000841835,0.000841835,0.000841835
17,163.88,0.87569,1.19079,1.33903,0.77873,0.56895,0.7213,0.40738,1.12472,2.14066,1.91205,0.000786824,0.000786824,0.000786824
18,173.381,0.85071,1.10269,1.30879,0.83174,0.85674,0.87143,0.5995,0.96599,1.78998,1.727,0.000731813,0.000731813,0.000731813
19,182.706,0.80568,1.01492,1.30663,0.8494,0.78325,0.80822,0.5405,0.97377,1.85859,1.68535,0.000676802,0.000676802,0.000676802
20,192.221,0.78152,0.98487,1.27677,0.97787,0.7867,0.91868,0.67604,0.93082,1.47904,1.64284,0.000621791,0.000621791,0.000621791
21,202.099,0.75477,1.48659,1.34332,0.87151,0.71719,0.79191,0.52949,1.10495,1.93314,1.90276,0.00056678,0.00056678,0.00056678
22,211.262,0.78795,1.37354,1.40823,0.99078,0.90833,0.92786,0.57652,1.14346,1.60493,1.91556,0.000511769,0.000511769,0.000511769
23,220.603,0.65679,1.1901,1.28823,0.99516,0.94222,0.945,0.60253,1.05146,1.39806,1.81425,0.000456758,0.000456758,0.000456758
24,229.806,0.68527,1.17568,1.2859,0.90794,0.87815,0.91885,0.61537,0.88679,1.59948,1.64862,0.000401747,0.000401747,0.000401747
25,238.828,0.63445,1.12046,1.25921,0.94305,0.89636,0.925,0.60397,0.8724,1.49131,1.64307,0.000346736,0.000346736,0.000346736
26,248.109,0.59732,1.04276,1.13994,0.93364,0.86667,0.92693,0.61365,0.83923,1.42562,1.58618,0.000291725,0.000291725,0.000291725
27,256.973,0.61022,1.06323,1.20285,0.8195,0.775,0.81345,0.58718,0.83,1.52089,1.556,0.000236714,0.000236714,0.000236714
28,265.843,0.52883,0.99471,1.14795,0.84021,0.82883,0.87683,0.64364,0.80674,1.38664,1.52598,0.000181703,0.000181703,0.000181703
29,275.029,0.56496,0.95149,1.17522,0.84953,0.85783,0.91337,0.70004,0.76789,1.3313,1.49125,0.000126692,0.000126692,0.000126692
30,284.06,0.52931,0.97962,1.16163,0.85159,0.92323,0.94,0.71201,0.74765,1.23155,1.44705,7.1681e-05,7.1681e-05,7.1681e-05
