epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.847,0.74261,2.19059,1.30683,0.66044,0.75627,0.76663,0.53902,0.87766,2.52744,1.53773,0.000411184,0.000411184,0.000411184
2,134.369,0.78432,1.44573,1.31557,0.73308,0.78045,0.87239,0.56176,1.07367,2.21632,1.84634,0.000800532,0.000800532,0.000800532
3,199.855,0.79684,1.3172,1.31291,0.78013,0.47837,0.6862,0.42556,1.18131,2.54531,1.85179,0.00116238,0.00116238,0.00116238
4,265.215,0.7909,1.23314,1.30628,0.69704,0.81991,0.84249,0.54205,1.04072,1.80126,1.74612,0.00112625,0.00112625,0.00112625
5,331.063,0.76308,1.1221,1.28969,0.85923,0.85608,0.92122,0.68689,0.91199,1.26938,1.56885,0.001085,0.001085,0.001085
6,396.271,0.7517,1.04746,1.28462,0.78153,0.65191,0.79738,0.49792,0.96406,1.67174,1.57373,0.00104375,0.00104375,0.00104375
7,461.877,0.73146,0.96525,1.25508,0.80743,0.90033,0.9276,0.6955,0.88832,1.10473,1.4817,0.0010025,0.0010025,0.0010025
8,527.546,0.69739,0.9223,1.22871,0.81917,0.88329,0.93584,0.72223,0.79373,1.01084,1.42554,0.00096125,0.00096125,0.00096125
9,593.021,0.67749,0.86598,1.21406,0.79878,0.78378,0.91106,0.71551,0.73841,1.14758,1.35291,0.00092,0.00092,0.00092
10,658.621,0.65972,0.81785,1.20798,0.95097,0.91799,0.97203,0.76671,0.76234,0.77651,1.36771,0.00087875,0.00087875,0.00087875
11,725.595,0.6372,0.79432,1.19159,0.95316,0.87702,0.97303,0.78738,0.69204,0.75235,1.31783,0.0008375,0.0008375,0.0008375
12,791.811,0.64207,0.76027,1.19196,0.9397,0.96053,0.97812,0.80363,0.68563,0.63725,1.28682,0.00079625,0.00079625,0.00079625
13,857.898,0.63516,0.71441,1.18569,0.91805,0.93127,0.96372,0.79502,0.6371,0.6444,1.25798,0.000755,0.000755,0.000755
14,923.618,0.60085,0.68792,1.15503,0.87011,0.94869,0.97407,0.82168,0.59451,0.64358,1.19661,0.00071375,0.00071375,0.00071375
15,989.587,0.57445,0.65388,1.14282,0.94464,0.97017,0.9855,0.82573,0.61838,0.57159,1.23627,0.0006725,0.0006725,0.0006725
16,1056.06,0.57342,0.65576,1.14774,0.90631,0.9366,0.97663,0.82147,0.60259,0.56856,1.20567,0.00063125,0.00063125,0.00063125
17,1121.88,0.57903,0.62353,1.14438,0.92548,0.96598,0.97659,0.81894,0.6218,0.58394,1.24054,0.00059,0.00059,0.00059
18,1187.43,0.54748,0.60013,1.12806,0.90061,0.96237,0.97102,0.84532,0.54597,0.50091,1.16766,0.00054875,0.00054875,0.00054875
19,1251.83,0.54739,0.57984,1.13397,0.91843,0.9575,0.98197,0.8482,0.52184,0.53268,1.14453,0.0005075,0.0005075,0.0005075
20,1316.58,0.52833,0.55406,1.12015,0.933,0.95787,0.97799,0.85603,0.53865,0.50715,1.12885,0.00046625,0.00046625,0.00046625
21,1379.21,0.45738,0.5066,1.09988,0.9391,0.92816,0.98583,0.86124,0.51648,0.53382,1.12149,0.000425,0.000425,0.000425
22,1441.29,0.4334,0.48115,1.07833,0.96817,0.93777,0.98569,0.87511,0.49838,0.45895,1.10854,0.00038375,0.00038375,0.00038375
23,1503.55,0.41318,0.43188,1.07093,0.96766,0.98223,0.98699,0.87566,0.50687,0.41521,1.13169,0.0003425,0.0003425,0.0003425
24,1565.85,0.40751,0.41954,1.06704,0.97967,0.96472,0.98722,0.87909,0.47551,0.39684,1.08155,0.00030125,0.00030125,0.00030125
25,1628.01,0.38122,0.38352,1.04408,0.97418,0.97064,0.99024,0.88495,0.45986,0.37405,1.0845,0.00026,0.00026,0.00026
26,1690.17,0.36845,0.37086,1.03763,0.96627,0.97894,0.98901,0.88575,0.48127,0.3842,1.08588,0.00021875,0.00021875,0.00021875
27,1752,0.34782,0.35478,1.01896,0.97364,0.98467,0.98807,0.89851,0.4351,0.3666,1.0515,0.0001775,0.0001775,0.0001775
28,1813.65,0.35175,0.34744,1.02004,0.96765,0.98565,0.99015,0.90422,0.43712,0.3503,1.05925,0.00013625,0.00013625,0.00013625
29,1875.13,0.33627,0.32643,0.99848,0.97907,0.98713,0.99143,0.90091,0.43917,0.34259,1.06679,9.5e-05,9.5e-05,9.5e-05
30,1936.31,0.31622,0.30284,0.98396,0.98587,0.97746,0.99179,0.91062,0.43171,0.33715,1.05267,5.375e-05,5.375e-05,5.375e-05
