epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.1576,1.6462,2.13098,1.62917,0.48742,0.53575,0.46727,0.19239,1.64113,2.36306,1.90082,0.000660661,0.000660661,0.000660661
2,180.956,1.49061,1.61736,1.53085,0.70448,0.76225,0.78454,0.42598,1.47496,1.58611,1.60914,0.00123972,0.00123972,0.00123972
3,272.205,1.44948,1.42023,1.50009,0.72701,0.77899,0.77873,0.40213,1.44317,1.4819,1.63287,0.00173079,0.00173079,0.00173079
4,361.714,1.4141,1.3282,1.48006,0.79848,0.83929,0.86512,0.48154,1.35508,1.14585,1.52485,0.001604,0.001604,0.001604
5,450.643,1.37549,1.21255,1.44661,0.75073,0.88094,0.8806,0.50845,1.33117,1.11161,1.51841,0.001472,0.001472,0.001472
6,534.759,1.27295,1.00598,1.43001,0.84674,0.89958,0.9201,0.57486,1.25861,0.92056,1.47951,0.00134,0.00134,0.00134
7,618.444,1.23508,0.86812,1.39852,0.85084,0.86304,0.90999,0.56249,1.2505,0.87034,1.45062,0.001208,0.001208,0.001208
8,702.285,1.18991,0.79355,1.37304,0.84013,0.91354,0.9263,0.55054,1.26676,0.85535,1.45995,0.001076,0.001076,0.001076
9,786.103,1.13166,0.75376,1.31641,0.84167,0.86556,0.89947,0.53209,1.27375,0.84818,1.49748,0.000944,0.000944,0.000944
10,870.105,1.12184,0.73256,1.31526,0.87633,0.94092,0.93902,0.60639,1.21481,0.70846,1.43228,0.000812,0.000812,0.000812
11,953.705,1.09481,0.69649,1.30877,0.90158,0.91066,0.95371,0.6204,1.15617,0.77218,1.39462,0.00068,0.00068,0.00068
12,1035.57,1.03844,0.65195,1.25944,0.89208,0.9366,0.95484,0.65043,1.11413,0.66442,1.33352,0.000548,0.000548,0.000548
13,1118.3,1.02368,0.62706,1.24308,0.90724,0.9442,0.95611,0.6001,1.23293,0.71602,1.42493,0.000416,0.000416,0.000416
14,1201.9,0.99183,0.60078,1.21237,0.91511,0.94758,0.96307,0.66299,1.08987,0.63103,1.32612,0.000284,0.000284,0.000284
15,1284.15,0.94525,0.57649,1.20223,0.90643,0.93372,0.95992,0.66716,1.06377,0.61691,1.3054,0.000152,0.000152,0.000152
