epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.167,0.65087,1.18708,1.32311,0.95789,0.93493,0.98247,0.71951,1.05345,1.78922,1.18937,0.00065942,0.00065942,0.00065942
2,542.667,0.50157,0.57757,1.19609,0.99924,1,0.995,0.93204,0.41992,0.75756,0.70501,0.00129983,0.00129983,0.00129983
3,798.185,0.46982,0.46227,1.16188,0.84354,0.90106,0.93665,0.4346,0.82193,1.74869,1.18241,0.00191384,0.00191384,0.00191384
4,1058.15,0.46869,0.42361,1.15963,0.98602,0.96639,0.99338,0.86215,0.66161,0.67158,1.09199,0.0018812,0.0018812,0.0018812
5,1318.28,0.43969,0.38719,1.13568,0.99985,1,0.995,0.94249,0.43997,0.61662,0.58764,0.0018416,0.0018416,0.0018416
6,1572.01,0.40101,0.34411,1.1106,0.99726,0.98904,0.99495,0.87532,0.44247,0.70151,0.62643,0.001802,0.001802,0.001802
7,1826.01,0.38589,0.32399,1.09291,0.62815,1,0.92821,0.47928,1.84945,1.47451,2.54346,0.0017624,0.0017624,0.0017624
8,2084.25,0.37146,0.30897,1.08934,0.99983,1,0.995,0.99476,0.27345,0.27045,0.40345,0.0017228,0.0017228,0.0017228
9,2338.11,0.35301,0.29857,1.08122,0.99985,1,0.995,0.93368,0.22818,0.55225,0.33962,0.0016832,0.0016832,0.0016832
10,2591.97,0.35197,0.28952,1.07582,0.99932,1,0.995,0.97887,0.41296,0.60562,0.58336,0.0016436,0.0016436,0.0016436
11,2846.83,0.34945,0.27994,1.07295,0.99984,1,0.995,0.9414,0.29161,0.39879,0.38259,0.001604,0.001604,0.001604
12,3107.86,0.3312,0.26882,1.06435,0.99699,1,0.995,0.92074,0.31867,0.45959,0.40848,0.0015644,0.0015644,0.0015644
13,3366.53,0.33746,0.27199,1.06331,0.99984,1,0.995,0.98308,0.23917,0.39741,0.4585,0.0015248,0.0015248,0.0015248
14,3629.09,0.331,0.26074,1.06198,0.92835,0.99726,0.99467,0.99132,0.36671,0.58265,0.40835,0.0014852,0.0014852,0.0014852
15,3890.42,0.30704,0.24885,1.04554,0.99986,1,0.995,0.99281,0.32569,0.58757,0.45564,0.0014456,0.0014456,0.0014456
16,4153.94,0.3073,0.24749,1.04809,0.98829,1,0.99486,0.90953,0.28921,0.49903,0.41976,0.001406,0.001406,0.001406
17,4411.04,0.30396,0.24241,1.04307,0.9901,1,0.99312,0.93116,0.3313,0.34395,0.44336,0.0013664,0.0013664,0.0013664
18,4669.67,0.31277,0.24867,1.05359,0.99986,1,0.995,0.8972,0.39088,0.57605,0.50981,0.0013268,0.0013268,0.0013268
19,4925.95,0.30916,0.23838,1.04351,0.99535,1,0.995,0.99088,0.32465,0.70158,0.43722,0.0012872,0.0012872,0.0012872
20,5189.92,0.29341,0.23027,1.03835,0.99985,1,0.995,0.9908,0.27466,0.30704,0.40325,0.0012476,0.0012476,0.0012476
21,5451.36,0.28845,0.22711,1.03534,0.99983,1,0.995,0.98152,0.31591,0.53029,0.42925,0.001208,0.001208,0.001208
22,5711.31,0.29932,0.23006,1.0442,0.99927,1,0.995,0.995,0.25791,0.62499,0.33816,0.0011684,0.0011684,0.0011684
23,5970.9,0.29129,0.22323,1.04144,0.99965,1,0.995,0.96798,0.28389,0.35086,0.3615,0.0011288,0.0011288,0.0011288
24,6227.57,0.2837,0.2176,1.03735,0.99983,1,0.995,0.99165,0.27135,0.51184,0.383,0.0010892,0.0010892,0.0010892
