epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7147,1.46934,2.24243,1.64975,0.00459,1,0.89364,0.45989,1.19892,2.92027,1.54176,0.00026,0.00026,0.00026
2,25.8416,1.31503,1.63722,1.5071,0.85516,0.38104,0.68869,0.30188,1.62515,2.94105,1.8691,0.00052218,0.00052218,0.00052218
3,37.4012,1.24441,1.4536,1.4474,0.65209,0.69533,0.75704,0.35448,1.40177,2.45821,1.95852,0.00076588,0.00076588,0.00076588
4,49.2676,1.29119,1.49171,1.47685,0.56429,0.64516,0.50757,0.20082,1.84985,3.17056,2.58425,0.0009911,0.0009911,0.0009911
5,60.9173,1.26183,1.4486,1.4547,0.58103,0.64516,0.67037,0.27786,1.87545,2.55661,2.42808,0.00119784,0.00119784,0.00119784
6,72.7414,1.26525,1.36571,1.46295,0.55439,0.62903,0.57768,0.22929,1.76805,2.7372,2.29671,0.0013861,0.0013861,0.0013861
7,84.3611,1.23616,1.37394,1.44433,0.62516,0.69355,0.61394,0.27344,1.98111,3.34722,2.6006,0.00155588,0.00155588,0.00155588
8,96.163,1.19049,1.3244,1.42128,0.56077,0.66129,0.56535,0.22325,1.94131,2.34363,2.71629,0.001538,0.001538,0.001538
9,108.053,1.28852,1.34985,1.52496,0.26487,0.37097,0.20632,0.04242,3.14005,2.78071,5.54464,0.001472,0.001472,0.001472
10,120.102,1.31649,1.24113,1.46447,0.30285,0.30645,0.20792,0.06614,3.31639,2.92888,5.13175,0.001406,0.001406,0.001406
11,132.14,1.19392,1.25458,1.40414,0.07961,0.17742,0.04326,0.00675,3.86784,6.11276,5.5646,0.00134,0.00134,0.00134
12,144.162,1.17569,1.17635,1.39604,0.28702,0.32258,0.20032,0.04099,3.2089,2.88197,3.97129,0.001274,0.001274,0.001274
13,156.141,1.17724,1.1366,1.36094,0.43202,0.67742,0.52641,0.19244,1.9847,2.21189,2.5406,0.001208,0.001208,0.001208
14,168.14,1.08844,1.07147,1.34177,0.77197,0.62903,0.71631,0.27682,2.13392,1.84143,2.70894,0.001142,0.001142,0.001142
15,179.935,1.05756,1.01666,1.31592,0.79041,0.77419,0.82151,0.35778,1.96595,1.66573,2.49601,0.001076,0.001076,0.001076
16,191.756,1.14671,1.10397,1.36795,0.82219,0.95161,0.91795,0.4909,1.60459,1.20705,2.02394,0.00101,0.00101,0.00101
17,203.694,1.06438,0.99852,1.32869,0.77371,0.83871,0.85745,0.42449,1.62769,1.35901,2.07022,0.000944,0.000944,0.000944
18,215.605,1.05654,1.00432,1.30984,0.81682,0.7193,0.80918,0.31429,2.12083,1.51097,2.51604,0.000878,0.000878,0.000878
19,227.4,1.06447,1.00585,1.32758,0.84791,0.8093,0.90742,0.40761,1.83554,1.34849,2.18496,0.000812,0.000812,0.000812
20,238.961,1.01315,0.92265,1.28484,0.7807,0.91935,0.89466,0.4098,1.8013,1.46864,2.23661,0.000746,0.000746,0.000746
21,250.669,0.96812,1.04644,1.32052,0.96482,0.88466,0.93874,0.41553,1.86457,1.29113,2.2945,0.00068,0.00068,0.00068
22,262.325,0.88934,0.87915,1.24795,0.90705,0.90323,0.9412,0.47481,1.55016,1.29667,2.02063,0.000614,0.000614,0.000614
23,273.537,0.88876,0.82582,1.22927,0.88781,0.8935,0.93539,0.51259,1.50615,1.34726,1.90692,0.000548,0.000548,0.000548
24,285.017,0.87116,0.81833,1.25195,0.87946,0.87097,0.94191,0.50458,1.54664,1.36463,1.95177,0.000482,0.000482,0.000482
25,296.398,0.82147,0.80892,1.23307,0.86946,0.80645,0.90678,0.46826,1.56648,1.34406,2.02055,0.000416,0.000416,0.000416
26,307.781,0.7934,0.70924,1.19147,0.85822,0.87874,0.90327,0.45792,1.66307,1.22244,2.18837,0.00035,0.00035,0.00035
27,319.262,0.75408,0.68499,1.13769,0.83169,0.87679,0.92044,0.4459,1.70996,1.20672,2.20352,0.000284,0.000284,0.000284
28,331.15,0.7853,0.69903,1.17661,0.9128,0.8871,0.94109,0.45838,1.71838,1.17928,2.12686,0.000218,0.000218,0.000218
29,342.583,0.6985,0.671,1.13288,0.90458,0.8871,0.94634,0.46291,1.71912,1.14515,2.09954,0.000152,0.000152,0.000152
30,354.084,0.74032,0.66833,1.14873,0.94965,0.85484,0.95212,0.47372,1.66857,1.13412,2.045,8.6e-05,8.6e-05,8.6e-05
