epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.295,2.14793,2.39361,1.12826,0.60549,0.30498,0.36763,0.19079,1.92239,2.08587,1.02871,0.000472697,0.000472697,0.000472697
2,591.857,2.00795,1.56439,1.0378,0.4813,0.44715,0.39939,0.21326,1.85981,1.47129,1.00967,0.000855077,0.000855077,0.000855077
3,977.155,1.9423,1.38702,1.01659,0.44328,0.41226,0.3883,0.20479,1.81813,1.54172,1.00924,0.00114314,0.00114314,0.00114314
4,1390.8,1.92182,1.25618,1.00621,0.51579,0.4521,0.44088,0.23164,1.77052,1.08938,0.9927,0.00100459,0.00100459,0.00100459
5,3675.47,1.83363,1.16335,0.99313,0.50853,0.48093,0.43988,0.23602,1.7469,1.13966,0.97754,0.000863116,0.000863116,0.000863116
6,4107.6,1.82429,1.11678,0.98245,0.54119,0.45889,0.46096,0.24505,1.70095,1.0555,0.96937,0.000721645,0.000721645,0.000721645
7,5751.34,1.78612,1.03948,0.97497,0.53638,0.51028,0.46714,0.25819,1.6709,0.96348,0.95612,0.000580174,0.000580174,0.000580174
8,8126.61,1.74946,0.9784,0.96257,0.58155,0.51149,0.47935,0.26284,1.66828,0.91052,0.95566,0.000438703,0.000438703,0.000438703
9,9089.52,1.7323,0.95933,0.95744,0.5926,0.52709,0.49469,0.27028,1.64056,0.88816,0.94741,0.000297232,0.000297232,0.000297232
10,9877.75,1.7085,0.93117,0.94677,0.59557,0.53352,0.50557,0.27548,1.61701,0.85502,0.94068,0.000155761,0.000155761,0.000155761
