epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8406,1.88893,4.10683,2.0727,0.00283,1,0.80161,0.44127,1.01801,3.38793,1.32971,0.00062,0.00062,0.00062
2,60.9428,1.08915,2.5473,1.41434,0.51868,0.89973,0.64724,0.38539,1.18964,2.45287,1.50426,0.00113526,0.00113526,0.00113526
3,92.4676,1.01231,2.1686,1.35158,0.74201,0.84434,0.858,0.48232,1.10443,2.106,1.52117,0.0015238,0.0015238,0.0015238
4,125.296,0.97998,1.85373,1.32432,0.36676,0.6994,0.36683,0.09053,2.21833,3.27933,3.6247,0.001406,0.001406,0.001406
5,156.165,0.91793,1.63104,1.25981,0.60368,0.80896,0.62052,0.33935,1.17178,2.15785,1.63585,0.001208,0.001208,0.001208
6,187.519,0.87801,1.50093,1.22985,0.57845,0.71226,0.56249,0.25038,1.29716,2.23073,1.89875,0.00101,0.00101,0.00101
7,219.05,0.78544,1.28417,1.1415,0.94283,0.95755,0.95195,0.29421,1.70976,1.82413,2.06799,0.000812,0.000812,0.000812
8,250.261,0.83999,1.16814,1.19,0.95765,0.9717,0.95676,0.57222,1.15181,1.25746,1.39461,0.000614,0.000614,0.000614
9,281.063,0.86666,1.15088,1.21146,0.94906,0.96698,0.95021,0.26883,2.03316,1.58098,2.31709,0.000416,0.000416,0.000416
10,311.812,0.74919,1.08581,1.11913,0.98086,0.96694,0.98378,0.5854,0.98524,1.37063,1.38659,0.000218,0.000218,0.000218
