epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.539,1.25025,2.6231,1.0802,0.64096,0.19244,0.22178,0.15672,1.14933,1.76807,0.9973,0.000221545,0.000221545,0.000221545
2,450.26,1.15633,1.75839,1.02947,0.45893,0.39855,0.36085,0.24336,1.11079,1.45084,1.0057,0.000399934,0.000399934,0.000399934
3,666.366,1.13002,1.47102,1.02467,0.52699,0.41442,0.41217,0.2785,1.11462,1.26001,1.00214,0.000534302,0.000534302,0.000534302
4,883.236,1.10325,1.26853,1.01144,0.39037,0.43254,0.40223,0.27741,1.0805,1.17541,0.99639,0.000468901,0.000468901,0.000468901
5,1096.09,1.06349,1.13636,0.99359,0.53455,0.45645,0.451,0.31146,1.05192,1.07611,0.97948,0.000402868,0.000402868,0.000402868
6,1306.92,1.03709,1.04193,0.98652,0.4951,0.49545,0.48868,0.34785,1.02565,0.97833,0.96342,0.000336835,0.000336835,0.000336835
7,1517.04,1.01103,0.95373,0.97291,0.50724,0.5158,0.51104,0.36427,1.00697,0.9088,0.96266,0.000270802,0.000270802,0.000270802
8,1725.48,0.99091,0.89594,0.96426,0.62074,0.5697,0.54564,0.38304,0.99427,0.87801,0.9516,0.000204769,0.000204769,0.000204769
9,1934.13,0.96582,0.84882,0.95568,0.58659,0.55693,0.57675,0.41616,0.97127,0.82737,0.94269,0.000138736,0.000138736,0.000138736
10,2138.8,0.9478,0.80465,0.94545,0.55933,0.57347,0.5856,0.42502,0.97076,0.81226,0.93825,7.2703e-05,7.2703e-05,7.2703e-05
