epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1552,2.78779,4.63096,1.97103,0.00029,0.00151,0,0,4.06661,4.78906,2.96782,3.333e-05,3.333e-05,3.333e-05
2,19.6253,2.67681,4.48747,1.83953,0.00028,0.05,0.00019,3e-05,3.9753,4.77777,3.02575,7.54369e-05,7.54369e-05,7.54369e-05
3,25.8825,2.42622,4.14866,1.67119,0.00067,0.05339,0.00239,0.00041,3.97714,4.77461,3.02978,0.000114877,0.000114877,0.000114877
4,32.4984,2.26738,3.51984,1.53188,0.00019,0.05,0.00013,4e-05,3.98608,4.79592,3.07107,0.000151652,0.000151652,0.000151652
5,38.9165,2.13479,2.82713,1.40608,0,0,0,0,3.97333,4.81657,3.09603,0.000185759,0.000185759,0.000185759
6,45.8544,1.906,2.0756,1.25781,0,0,0,0,3.97439,4.83674,3.09533,0.0002172,0.0002172,0.0002172
7,52.7811,1.81668,2.0163,1.19992,0,0,0,0,3.94509,4.85943,3.06678,0.000245975,0.000245975,0.000245975
8,59.3679,1.69596,1.79672,1.13472,0,0,0,0,3.89909,4.87226,3.02362,0.000272084,0.000272084,0.000272084
9,66.2368,1.6119,1.64625,1.08085,0.00016,0.00339,0,0,3.82939,4.86405,2.95813,0.000295526,0.000295526,0.000295526
10,72.6812,1.55323,1.70203,1.06829,0.00175,0.0103,0.01,0.0047,3.67747,4.76891,2.79692,0.000316302,0.000316302,0.000316302
11,79.2271,1.55169,1.57115,1.03998,0.00313,0.0172,0.01118,0.00855,3.32638,4.50883,2.49036,0.000334411,0.000334411,0.000334411
12,86.2241,1.48933,1.43856,1.00171,0.00752,0.07725,0.01899,0.01393,2.96625,4.20877,2.15368,0.000349854,0.000349854,0.000349854
13,93.5299,1.38857,1.36212,0.98536,0.01181,0.0922,0.02922,0.02096,2.5315,3.8334,1.81013,0.00036263,0.00036263,0.00036263
14,100.342,1.42275,1.36029,1.01227,0.01838,0.1403,0.04496,0.03216,2.05396,3.4354,1.50059,0.00037274,0.00037274,0.00037274
15,107.07,1.44049,1.34775,0.99328,0.02134,0.17211,0.06181,0.04213,1.78971,3.21633,1.36871,0.000380184,0.000380184,0.000380184
16,114.093,1.40368,1.32584,0.9918,0.02446,0.2156,0.0815,0.05358,1.62836,3.03761,1.29602,0.000384962,0.000384962,0.000384962
17,120.873,1.37488,1.25765,0.98347,0.15446,0.21908,0.115,0.07348,1.54476,2.76562,1.2105,0.000387072,0.000387072,0.000387072
18,128.127,1.36465,1.27302,0.9721,0.62527,0.13984,0.15657,0.09595,1.50397,2.46669,1.13511,0.000386517,0.000386517,0.000386517
19,134.983,1.36543,1.29663,0.97941,0.6698,0.13749,0.21876,0.1243,1.46269,2.24446,1.08065,0.000383295,0.000383295,0.000383295
20,141.874,1.29825,1.20561,0.96605,0.61099,0.12547,0.27215,0.15444,1.45208,2.10268,1.05358,0.000377407,0.000377407,0.000377407
21,148.156,1.23275,1.20907,0.96123,0.56265,0.17338,0.29731,0.17427,1.45128,2.01192,1.02654,0.000368852,0.000368852,0.000368852
22,154.242,1.21145,1.17424,0.95401,0.5714,0.26586,0.33513,0.20481,1.38557,1.91074,0.99616,0.000357631,0.000357631,0.000357631
23,160.333,1.26982,1.16799,0.94745,0.5667,0.29199,0.36032,0.22764,1.3304,1.7204,0.97564,0.000343743,0.000343743,0.000343743
24,166.379,1.20575,1.12219,0.93754,0.5544,0.31388,0.38013,0.2411,1.31713,1.57452,0.9655,0.000327189,0.000327189,0.000327189
25,172.479,1.23312,1.10746,0.9386,0.52199,0.3351,0.39135,0.24613,1.31702,1.50466,0.95945,0.000307969,0.000307969,0.000307969
26,178.61,1.22443,1.203,0.93596,0.5313,0.39363,0.4049,0.24909,1.32609,1.46902,0.95556,0.00027775,0.00027775,0.00027775
27,184.688,1.24318,1.13707,0.93775,0.5451,0.39923,0.41058,0.25064,1.29755,1.42773,0.94588,0.00024442,0.00024442,0.00024442
28,190.819,1.20624,1.08951,0.9274,0.54089,0.42026,0.422,0.25916,1.26205,1.29896,0.936,0.00021109,0.00021109,0.00021109
29,197.015,1.23,1.09682,0.93031,0.50777,0.42114,0.42032,0.25743,1.2497,1.22102,0.93332,0.00017776,0.00017776,0.00017776
30,203.181,1.22899,1.08003,0.9435,0.55135,0.38772,0.42068,0.25573,1.24968,1.17901,0.93298,0.00014443,0.00014443,0.00014443
