epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.229,1.30336,2.89088,1.56719,0.41804,0.52419,0.43916,0.26048,1.29823,2.52795,1.70965,0.000275497,0.000275497,0.000275497
2,204.201,1.30409,2.19401,1.55502,0.41029,0.59547,0.55156,0.2936,1.38329,2.65742,1.89342,0.000516655,0.000516655,0.000516655
3,305.442,1.32084,2.01875,1.55096,0.6348,0.534,0.62102,0.38772,1.30557,2.0994,1.75397,0.000721161,0.000721161,0.000721161
4,406.247,1.33894,1.88632,1.55537,0.47517,0.68774,0.62097,0.37878,1.33569,1.97948,1.76282,0.000668066,0.000668066,0.000668066
5,507.262,1.28932,1.69728,1.5107,0.69537,0.68573,0.75174,0.48001,1.25486,1.50404,1.66542,0.000613088,0.000613088,0.000613088
6,604.096,1.24833,1.76775,1.62798,0.72145,0.66093,0.72784,0.47333,1.21477,1.58221,1.62743,0.00055811,0.00055811,0.00055811
7,700.035,1.21304,1.52865,1.58178,0.72221,0.68263,0.74725,0.47419,1.27016,1.47494,1.69742,0.000503132,0.000503132,0.000503132
8,795.538,1.17493,1.39102,1.5472,0.72463,0.69869,0.76882,0.50412,1.19415,1.35202,1.6049,0.000448154,0.000448154,0.000448154
9,891.269,1.15515,1.27448,1.52036,0.76851,0.80906,0.82242,0.55532,1.21036,1.17411,1.61893,0.000393176,0.000393176,0.000393176
10,986.399,1.12672,1.15425,1.48116,0.73761,0.81251,0.84336,0.56688,1.17574,1.09867,1.56976,0.000338198,0.000338198,0.000338198
11,1081.33,1.08435,1.0893,1.465,0.77348,0.77462,0.83377,0.56428,1.15113,1.13032,1.5585,0.00028322,0.00028322,0.00028322
12,1177.29,1.05735,1.00591,1.43315,0.80503,0.82335,0.86688,0.60063,1.11932,1.01229,1.52195,0.000228242,0.000228242,0.000228242
13,1272.17,1.0359,0.94954,1.41053,0.83715,0.81495,0.86814,0.60722,1.10793,0.9696,1.50707,0.000173264,0.000173264,0.000173264
14,1367.08,1.00106,0.8888,1.37883,0.84824,0.83711,0.88158,0.60835,1.1124,0.95071,1.50875,0.000118286,0.000118286,0.000118286
15,1461.36,0.97562,0.84073,1.3532,0.83185,0.8525,0.88348,0.61459,1.09092,0.8915,1.47512,6.3308e-05,6.3308e-05,6.3308e-05
